,name,Accuracy,geometry,Latitude,Longitude,KdNT,Hustu,PIN,PAR,MAN,PNP,FOL-PAN,MFK,PS,MKP,MP,totalkiezers,total,pctKiezers,randNumCol,area,invarea,bario,winner
0,Advent School Koraal Specht,good,POINT (-68.89689737 12.09720473),12.09720473,-68.89689737,54,29,51,353,160,32,2,136,28,17,31,893.0,1314,67.96042617960426,4,2466.016500000081,4055.1229077338576,Koraal Specht,PAR
16,J.W.Th. Schotborgh Kleuterschool,good,POINT (-68.89726114 12.09868077),12.09868077,-68.89726114,118,19,26,65,108,23,12,166,73,16,24,650.0,992,65.5241935483871,4,2466.016500000081,4055.1229077338576,Koraal Specht,MFK
54,Sentro Detenshon i Korekshon Korsou,good,POINT (-68.89166185 12.0925436),12.0925436,-68.89166185,106,1,5,3,11,1,2,107,5,4,24,269.0,0,inf,4,2466.016500000081,4055.1229077338576,Koraal Specht,MFK
69,Skol Marieta Alberto Paseo,good,POINT (-68.89628122 12.09631975),12.09631975,-68.89628122,104,26,47,234,165,22,8,155,77,17,38,893.0,1337,66.7913238593867,4,2466.016500000081,4055.1229077338576,Koraal Specht,PAR
1,Albert Schweitzer Parera VSBO,good,POINT (-68.91386792 12.10753482),12.10753482,-68.91386792,38,13,25,114,82,31,4,108,18,10,29,472.0,682,69.20821114369502,4,1714.8786500007814,5831.3164024728185,Saliña,PAR
8,Dr. Albert Schweitzer Kleuterschool,good,POINT (-68.90579858 12.10722713),12.10722713,-68.90579858,46,21,30,192,109,19,2,82,27,35,23,586.0,821,71.37637028014616,4,1714.8786500007814,5831.3164024728185,Saliña,PAR
81,VSBO St. Paulus Salinja,good,POINT (-68.9053505 12.10566701),12.10566701,-68.9053505,56,38,58,346,178,21,0,132,37,14,27,907.0,1258,72.09856915739269,4,1714.8786500007814,5831.3164024728185,Saliña,PAR
2,Angela Jessurunschool,good,POINT (-68.86196188 12.11334361),12.11334361,-68.86196188,132,24,36,111,195,33,10,196,64,26,67,894.0,1378,64.87663280116111,4,1221.3622099999025,8187.579342249995,Montaña Abou,MFK
3,Atanacio Emilio Goiloschool,good,POINT (-68.97024157 12.15369989),12.15369989,-68.97024157,379,126,158,654,477,100,37,752,173,68,176,3100.0,5263,59.916955682129895,4,2871.3124750004704,3482.7278769087516,Groot Piscadera,MFK
14,H.J.A. Schroederschool,good,POINT (-68.96985492 12.15291124),12.15291124,-68.96985492,51,38,67,281,251,40,6,154,29,41,72,1030.0,1392,73.99425287356321,4,2871.3124750004704,3482.7278769087516,Groot Piscadera,PAR
80,University of Curacao,good,POINT (-68.96101605 12.15746791),12.15746791,-68.96101605,211,65,122,340,443,82,28,412,133,56,122,2014.0,2950,68.26983405413431,4,2871.3124750004704,3482.7278769087516,Groot Piscadera,MAN
4,B.T.G. gebouw,good,POINT (-68.9061915 12.09234313),12.09234313,-68.9061915,52,18,21,97,105,16,6,105,39,10,25,494.0,719,68.70653685674549,4,1024.1566249996736,9764.131536036479,Steenrijk,MAN
6,Bokshal Marie Pampoen,approx,POINT (-68.9073393 12.09352217),12.09352217,-68.9073393,34,38,31,182,114,20,2,94,40,12,32,599.0,862,69.48955916473318,4,1024.1566249996736,9764.131536036479,Steenrijk,PAR
15,Hub. den Ambiente Sano (Dep.RKMTS),bad,POINT (-68.91322809 12.1018767),12.1018767,-68.91322809,71,14,23,69,78,24,8,147,60,10,24,528.0,826,63.922518159806295,4,1024.1566249996736,9764.131536036479,Steenrijk,MFK
73,St. Albertus College,good,POINT (-68.91488906 12.10029972),12.10029972,-68.91488906,81,40,42,200,176,48,4,156,65,18,47,877.0,1352,64.86686390532545,4,1024.1566249996736,9764.131536036479,Steenrijk,PAR
5,Berg Carmel College,bad,POINT (-68.91615756 12.10772965),12.10772965,-68.91615756,38,28,36,128,131,15,2,96,33,19,35,561.0,848,66.15566037735849,4,702.453944999909,14235.808726223746,Berg Altena,MAN
46,Oranjeschool,good,POINT (-68.92207281 12.10204775),12.10204775,-68.92207281,82,45,39,198,158,48,8,140,61,18,35,832.0,1364,60.997067448680355,4,702.453944999909,14235.808726223746,Berg Altena,PAR
7,Cola Debrot School,good,POINT (-68.94947646 12.13964816),12.13964816,-68.94947646,99,26,40,103,153,37,11,177,42,26,23,737.0,115,640.8695652173913,4,1230.5288949999435,8126.586901480651,Rosendaal,MFK
9,Emmy Berthold Kleuterschool,good,POINT (-68.92895591 12.15508797),12.15508797,-68.92895591,50,20,18,76,121,20,10,120,42,19,34,530.0,778,68.12339331619538,4,1560.4220700000035,6408.522535188174,Stenen Koraal,MAN
37,Maduro Kleuterschool,approx,POINT (-68.94050894 12.16541561),12.16541561,-68.94050894,130,44,35,112,164,31,13,296,61,37,71,994.0,1493,66.57736101808439,4,1560.4220700000035,6408.522535188174,Stenen Koraal,MFK
38,Maduroschool (Skol Basiko),good,POINT (-68.93993426 12.16548132),12.16548132,-68.93993426,67,26,20,57,117,21,18,197,41,20,52,636.0,990,64.24242424242425,4,1560.4220700000035,6408.522535188174,Stenen Koraal,MFK
27,Kolegio Maria Auxiliadora,good,POINT (-68.94266152 12.15874524),12.15874524,-68.94266152,197,112,164,476,583,94,59,526,141,69,124,2545.0,3777,67.05546963165132,4,2202.7185950001244,4539.844546052618,Stenen Koraal,MAN
62,Sentro di Bario Santa Maria,good,POINT (-68.94165382 12.15746306),12.15746306,-68.94165382,30,39,29,111,104,27,13,80,31,12,23,499.0,756,66.005291005291,4,2202.7185950001244,4539.844546052618,Stenen Koraal,PAR
74,St. Antonius College,good,POINT (-68.94165793 12.15683805),12.15683805,-68.94165793,55,19,19,121,120,22,6,127,31,17,44,581.0,863,67.32329084588645,4,2202.7185950001244,4539.844546052618,Stenen Koraal,MFK
